,average_degree,clustering_coef,average_shortest_path,n_edges,n_nodes
0,3.2,0.2626031746031746,2.67,40,25
1,3.2,0.2626031746031746,2.67,40,25
2,3.2,0.2626031746031746,2.67,40,25
3,3.2,0.2626031746031746,2.67,40,25
4,3.2,0.2626031746031746,2.67,40,25
5,3.2,0.2626031746031746,2.67,40,25
6,3.2,0.2626031746031746,2.67,40,25
7,3.2,0.2626031746031746,2.67,40,25
8,3.2,0.2626031746031746,2.67,40,25
9,3.2,0.2626031746031746,2.67,40,25
10,3.2,0.2626031746031746,2.67,40,25
11,3.2,0.2626031746031746,2.67,40,25
12,3.2,0.2626031746031746,2.67,40,25
13,3.2,0.2626031746031746,2.67,40,25
14,3.2,0.2626031746031746,2.67,40,25
15,3.2,0.2626031746031746,2.67,40,25
16,3.2,0.2626031746031746,2.67,40,25
17,3.2,0.2626031746031746,2.67,40,25
18,3.2,0.2626031746031746,2.67,40,25
19,3.2,0.2626031746031746,2.67,40,25
20,3.2,0.2626031746031746,2.67,40,25
21,3.2,0.2626031746031746,2.67,40,25
22,3.2,0.2626031746031746,2.67,40,25
23,3.2,0.2626031746031746,2.67,40,25
24,3.2,0.2626031746031746,2.67,40,25
25,3.2,0.2626031746031746,2.67,40,25
26,3.2,0.2626031746031746,2.67,40,25
27,3.2,0.2626031746031746,2.67,40,25
28,3.2,0.2626031746031746,2.67,40,25
29,3.2,0.2626031746031746,2.67,40,25
30,3.2,0.2626031746031746,2.67,40,25
31,3.2,0.2626031746031746,2.67,40,25
32,3.2,0.2626031746031746,2.67,40,25
33,3.2,0.2626031746031746,2.67,40,25
34,3.2,0.2626031746031746,2.67,40,25
35,3.2,0.2626031746031746,2.67,40,25
36,3.2,0.2626031746031746,2.67,40,25
37,3.2,0.2626031746031746,2.67,40,25
38,3.2,0.2626031746031746,2.67,40,25
39,3.2,0.2626031746031746,2.67,40,25
40,3.2,0.2626031746031746,2.67,40,25
41,3.2,0.2626031746031746,2.67,40,25
42,3.2,0.2626031746031746,2.67,40,25
43,3.2,0.2626031746031746,2.67,40,25
44,3.2,0.2626031746031746,2.67,40,25
45,3.2,0.2626031746031746,2.67,40,25
46,3.2,0.2626031746031746,2.67,40,25
47,3.2,0.2626031746031746,2.67,40,25
48,3.2,0.2626031746031746,2.67,40,25
49,3.2,0.2626031746031746,2.67,40,25
50,3.2,0.2626031746031746,2.67,40,25
51,3.2,0.2626031746031746,2.67,40,25
52,3.2,0.2626031746031746,2.67,40,25
53,3.2,0.2626031746031746,2.67,40,25
54,3.2,0.2626031746031746,2.67,40,25
55,3.2,0.2626031746031746,2.67,40,25
56,3.2,0.2626031746031746,2.67,40,25
57,3.2,0.2626031746031746,2.67,40,25
58,3.2,0.2626031746031746,2.67,40,25
59,3.2,0.2626031746031746,2.67,40,25
60,3.2,0.2626031746031746,2.67,40,25
61,3.2,0.2626031746031746,2.67,40,25
62,3.2,0.2626031746031746,2.67,40,25
63,3.2,0.2626031746031746,2.67,40,25
64,3.2,0.2626031746031746,2.67,40,25
65,3.2,0.2626031746031746,2.67,40,25
66,3.2,0.2626031746031746,2.67,40,25
67,3.2,0.2626031746031746,2.67,40,25
68,3.2,0.2626031746031746,2.67,40,25
69,3.2,0.2626031746031746,2.67,40,25
70,3.2,0.2626031746031746,2.67,40,25
71,3.2,0.2626031746031746,2.67,40,25
72,3.2,0.2626031746031746,2.67,40,25
73,3.2,0.2626031746031746,2.67,40,25
74,3.2,0.2626031746031746,2.67,40,25
75,3.2,0.2626031746031746,2.67,40,25
76,3.2,0.2626031746031746,2.67,40,25
77,3.2,0.2626031746031746,2.67,40,25
78,3.2,0.2626031746031746,2.67,40,25
79,3.2,0.2626031746031746,2.67,40,25
80,3.2,0.2626031746031746,2.67,40,25
81,3.2,0.2626031746031746,2.67,40,25
82,3.2,0.2626031746031746,2.67,40,25
83,3.2,0.2626031746031746,2.67,40,25
84,3.2,0.2626031746031746,2.67,40,25
85,3.2,0.2626031746031746,2.67,40,25
86,3.2,0.2626031746031746,2.67,40,25
87,3.2,0.2626031746031746,2.67,40,25
88,3.2,0.2626031746031746,2.67,40,25
89,3.2,0.2626031746031746,2.67,40,25
90,3.2,0.2626031746031746,2.67,40,25
91,3.2,0.2626031746031746,2.67,40,25
92,3.2,0.2626031746031746,2.67,40,25
93,3.2,0.2626031746031746,2.67,40,25
94,3.2,0.2626031746031746,2.67,40,25
95,3.2,0.2626031746031746,2.67,40,25
96,3.2,0.2626031746031746,2.67,40,25
97,3.2,0.2626031746031746,2.67,40,25
98,3.2,0.2626031746031746,2.67,40,25
99,3.2,0.2626031746031746,2.67,40,25
100,3.2,0.2626031746031746,2.67,40,25
101,3.2,0.2626031746031746,2.67,40,25
102,3.2,0.2626031746031746,2.67,40,25
103,3.2,0.2626031746031746,2.67,40,25
104,3.2,0.2626031746031746,2.67,40,25
105,3.2,0.2626031746031746,2.67,40,25
106,3.2,0.2626031746031746,2.67,40,25
107,3.2,0.2626031746031746,2.67,40,25
108,3.2,0.2626031746031746,2.67,40,25
109,3.2,0.2626031746031746,2.67,40,25
110,3.2,0.2626031746031746,2.67,40,25
111,3.2,0.2626031746031746,2.67,40,25
112,3.2,0.2626031746031746,2.67,40,25
113,3.2,0.2626031746031746,2.67,40,25
114,3.2,0.2626031746031746,2.67,40,25
115,3.2,0.2626031746031746,2.67,40,25
116,3.2,0.2626031746031746,2.67,40,25
117,3.2,0.2626031746031746,2.67,40,25
118,3.2,0.2626031746031746,2.67,40,25
119,3.2,0.2626031746031746,2.67,40,25
120,3.2,0.2626031746031746,2.67,40,25
121,3.2,0.2626031746031746,2.67,40,25
122,3.2,0.2626031746031746,2.67,40,25
123,3.2,0.2626031746031746,2.67,40,25
124,3.2,0.2626031746031746,2.67,40,25
125,3.2,0.2626031746031746,2.67,40,25
126,3.2,0.2626031746031746,2.67,40,25
127,3.2,0.2626031746031746,2.67,40,25
128,3.2,0.2626031746031746,2.67,40,25
129,3.2,0.2626031746031746,2.67,40,25
130,3.2,0.2626031746031746,2.67,40,25
131,3.2,0.2626031746031746,2.67,40,25
132,3.2,0.2626031746031746,2.67,40,25
133,3.2,0.2626031746031746,2.67,40,25
134,3.2,0.2626031746031746,2.67,40,25
135,3.2,0.2626031746031746,2.67,40,25
136,3.2,0.2626031746031746,2.67,40,25
137,3.2,0.2626031746031746,2.67,40,25
138,3.2,0.2626031746031746,2.67,40,25
139,3.2,0.2626031746031746,2.67,40,25
140,3.2,0.2626031746031746,2.67,40,25
141,3.2,0.2626031746031746,2.67,40,25
142,3.2,0.2626031746031746,2.67,40,25
143,3.2,0.2626031746031746,2.67,40,25
144,3.2,0.2626031746031746,2.67,40,25
145,3.2,0.2626031746031746,2.67,40,25
146,3.2,0.2626031746031746,2.67,40,25
147,3.2,0.2626031746031746,2.67,40,25
148,3.2,0.2626031746031746,2.67,40,25
149,3.2,0.2626031746031746,2.67,40,25
150,3.2,0.2626031746031746,2.67,40,25
151,3.2,0.2626031746031746,2.67,40,25
152,3.2,0.2626031746031746,2.67,40,25
153,3.2,0.2626031746031746,2.67,40,25
154,3.2,0.2626031746031746,2.67,40,25
155,3.2,0.2626031746031746,2.67,40,25
156,3.2,0.2626031746031746,2.67,40,25
157,3.2,0.2626031746031746,2.67,40,25
158,3.2,0.2626031746031746,2.67,40,25
159,3.2,0.2626031746031746,2.67,40,25
160,3.2,0.2626031746031746,2.67,40,25
161,3.2,0.2626031746031746,2.67,40,25
162,3.2,0.2626031746031746,2.67,40,25
163,3.2,0.2626031746031746,2.67,40,25
164,3.2,0.2626031746031746,2.67,40,25
165,3.2,0.2626031746031746,2.67,40,25
166,3.2,0.2626031746031746,2.67,40,25
167,3.2,0.2626031746031746,2.67,40,25
168,3.2,0.2626031746031746,2.67,40,25
169,3.2,0.2626031746031746,2.67,40,25
170,3.2,0.2626031746031746,2.67,40,25
171,3.2,0.2626031746031746,2.67,40,25
172,3.2,0.2626031746031746,2.67,40,25
173,3.2,0.2626031746031746,2.67,40,25
174,3.2,0.2626031746031746,2.67,40,25
175,3.2,0.2626031746031746,2.67,40,25
176,3.2,0.2626031746031746,2.67,40,25
177,3.2,0.2626031746031746,2.67,40,25
178,3.2,0.2626031746031746,2.67,40,25
179,3.2,0.2626031746031746,2.67,40,25
180,3.2,0.2626031746031746,2.67,40,25
181,3.2,0.2626031746031746,2.67,40,25
182,3.2,0.2626031746031746,2.67,40,25
183,3.2,0.2626031746031746,2.67,40,25
184,3.2,0.2626031746031746,2.67,40,25
185,3.2,0.2626031746031746,2.67,40,25
186,3.2,0.2626031746031746,2.67,40,25
187,3.2,0.2626031746031746,2.67,40,25
188,3.2,0.2626031746031746,2.67,40,25
189,3.2,0.2626031746031746,2.67,40,25
190,3.2,0.2626031746031746,2.67,40,25
191,3.2,0.2626031746031746,2.67,40,25
192,3.2,0.2626031746031746,2.67,40,25
193,3.2,0.2626031746031746,2.67,40,25
194,3.2,0.2626031746031746,2.67,40,25
195,3.2,0.2626031746031746,2.67,40,25
196,3.2,0.2626031746031746,2.67,40,25
197,3.2,0.2626031746031746,2.67,40,25
198,3.2,0.2626031746031746,2.67,40,25
199,3.2,0.2626031746031746,2.67,40,25
200,3.2,0.2626031746031746,2.67,40,25
201,3.2,0.2626031746031746,2.67,40,25
202,3.2,0.2626031746031746,2.67,40,25
203,3.2,0.2626031746031746,2.67,40,25
204,3.2,0.2626031746031746,2.67,40,25
205,3.2,0.2626031746031746,2.67,40,25
206,3.2,0.2626031746031746,2.67,40,25
207,3.2,0.2626031746031746,2.67,40,25
208,3.2,0.2626031746031746,2.67,40,25
209,3.2,0.2626031746031746,2.67,40,25
210,3.2,0.2626031746031746,2.67,40,25
211,3.2,0.2626031746031746,2.67,40,25
212,3.2,0.2626031746031746,2.67,40,25
213,3.2,0.2626031746031746,2.67,40,25
214,3.2,0.2626031746031746,2.67,40,25
215,3.2,0.2626031746031746,2.67,40,25
216,3.2,0.2626031746031746,2.67,40,25
217,3.2,0.2626031746031746,2.67,40,25
218,3.2,0.2626031746031746,2.67,40,25
219,3.2,0.2626031746031746,2.67,40,25
220,3.2,0.2626031746031746,2.67,40,25
221,3.2,0.2626031746031746,2.67,40,25
222,3.2,0.2626031746031746,2.67,40,25
223,3.2,0.2626031746031746,2.67,40,25
224,3.2,0.2626031746031746,2.67,40,25
225,3.2,0.2626031746031746,2.67,40,25
226,3.2,0.2626031746031746,2.67,40,25
227,3.2,0.2626031746031746,2.67,40,25
228,3.2,0.2626031746031746,2.67,40,25
229,3.2,0.2626031746031746,2.67,40,25
230,3.2,0.2626031746031746,2.67,40,25
231,3.2,0.2626031746031746,2.67,40,25
232,3.2,0.2626031746031746,2.67,40,25
233,3.2,0.2626031746031746,2.67,40,25
