,average_degree,clustering_coef,average_shortest_path,n_edges,n_nodes
0,24.0,1.0,1.0,300,25
1,24.0,1.0,1.0,300,25
2,24.0,1.0,1.0,300,25
3,24.0,1.0,1.0,300,25
4,24.0,1.0,1.0,300,25
5,24.0,1.0,1.0,300,25
6,24.0,1.0,1.0,300,25
7,24.0,1.0,1.0,300,25
8,24.0,1.0,1.0,300,25
9,24.0,1.0,1.0,300,25
10,24.0,1.0,1.0,300,25
11,24.0,1.0,1.0,300,25
12,24.0,1.0,1.0,300,25
13,24.0,1.0,1.0,300,25
14,24.0,1.0,1.0,300,25
15,24.0,1.0,1.0,300,25
16,24.0,1.0,1.0,300,25
17,24.0,1.0,1.0,300,25
18,24.0,1.0,1.0,300,25
19,24.0,1.0,1.0,300,25
20,24.0,1.0,1.0,300,25
21,24.0,1.0,1.0,300,25
22,24.0,1.0,1.0,300,25
23,24.0,1.0,1.0,300,25
24,24.0,1.0,1.0,300,25
25,24.0,1.0,1.0,300,25
26,24.0,1.0,1.0,300,25
27,24.0,1.0,1.0,300,25
28,24.0,1.0,1.0,300,25
29,24.0,1.0,1.0,300,25
30,24.0,1.0,1.0,300,25
31,24.0,1.0,1.0,300,25
32,24.0,1.0,1.0,300,25
33,24.0,1.0,1.0,300,25
34,24.0,1.0,1.0,300,25
35,24.0,1.0,1.0,300,25
36,24.0,1.0,1.0,300,25
37,24.0,1.0,1.0,300,25
38,24.0,1.0,1.0,300,25
39,24.0,1.0,1.0,300,25
40,24.0,1.0,1.0,300,25
41,24.0,1.0,1.0,300,25
42,24.0,1.0,1.0,300,25
43,24.0,1.0,1.0,300,25
44,24.0,1.0,1.0,300,25
45,24.0,1.0,1.0,300,25
46,24.0,1.0,1.0,300,25
47,24.0,1.0,1.0,300,25
48,24.0,1.0,1.0,300,25
49,24.0,1.0,1.0,300,25
50,24.0,1.0,1.0,300,25
51,24.0,1.0,1.0,300,25
52,24.0,1.0,1.0,300,25
53,24.0,1.0,1.0,300,25
54,24.0,1.0,1.0,300,25
55,24.0,1.0,1.0,300,25
56,24.0,1.0,1.0,300,25
57,24.0,1.0,1.0,300,25
58,24.0,1.0,1.0,300,25
59,24.0,1.0,1.0,300,25
60,24.0,1.0,1.0,300,25
61,24.0,1.0,1.0,300,25
62,24.0,1.0,1.0,300,25
63,24.0,1.0,1.0,300,25
64,24.0,1.0,1.0,300,25
65,24.0,1.0,1.0,300,25
66,24.0,1.0,1.0,300,25
67,24.0,1.0,1.0,300,25
68,24.0,1.0,1.0,300,25
69,24.0,1.0,1.0,300,25
70,24.0,1.0,1.0,300,25
71,24.0,1.0,1.0,300,25
72,24.0,1.0,1.0,300,25
73,24.0,1.0,1.0,300,25
74,24.0,1.0,1.0,300,25
75,24.0,1.0,1.0,300,25
76,24.0,1.0,1.0,300,25
77,24.0,1.0,1.0,300,25
78,24.0,1.0,1.0,300,25
79,24.0,1.0,1.0,300,25
80,24.0,1.0,1.0,300,25
81,24.0,1.0,1.0,300,25
82,24.0,1.0,1.0,300,25
83,24.0,1.0,1.0,300,25
84,24.0,1.0,1.0,300,25
85,24.0,1.0,1.0,300,25
86,24.0,1.0,1.0,300,25
87,24.0,1.0,1.0,300,25
88,24.0,1.0,1.0,300,25
89,24.0,1.0,1.0,300,25
90,24.0,1.0,1.0,300,25
91,24.0,1.0,1.0,300,25
92,24.0,1.0,1.0,300,25
93,24.0,1.0,1.0,300,25
94,24.0,1.0,1.0,300,25
95,24.0,1.0,1.0,300,25
96,24.0,1.0,1.0,300,25
97,24.0,1.0,1.0,300,25
98,24.0,1.0,1.0,300,25
99,24.0,1.0,1.0,300,25
100,24.0,1.0,1.0,300,25
101,24.0,1.0,1.0,300,25
102,24.0,1.0,1.0,300,25
103,24.0,1.0,1.0,300,25
104,24.0,1.0,1.0,300,25
105,24.0,1.0,1.0,300,25
106,24.0,1.0,1.0,300,25
107,24.0,1.0,1.0,300,25
108,24.0,1.0,1.0,300,25
109,24.0,1.0,1.0,300,25
110,24.0,1.0,1.0,300,25
111,24.0,1.0,1.0,300,25
112,24.0,1.0,1.0,300,25
113,24.0,1.0,1.0,300,25
114,24.0,1.0,1.0,300,25
115,24.0,1.0,1.0,300,25
116,24.0,1.0,1.0,300,25
117,24.0,1.0,1.0,300,25
118,24.0,1.0,1.0,300,25
119,24.0,1.0,1.0,300,25
120,24.0,1.0,1.0,300,25
121,24.0,1.0,1.0,300,25
122,24.0,1.0,1.0,300,25
123,24.0,1.0,1.0,300,25
124,24.0,1.0,1.0,300,25
125,24.0,1.0,1.0,300,25
126,24.0,1.0,1.0,300,25
127,24.0,1.0,1.0,300,25
128,24.0,1.0,1.0,300,25
129,24.0,1.0,1.0,300,25
130,24.0,1.0,1.0,300,25
131,24.0,1.0,1.0,300,25
132,24.0,1.0,1.0,300,25
133,24.0,1.0,1.0,300,25
134,24.0,1.0,1.0,300,25
135,24.0,1.0,1.0,300,25
136,24.0,1.0,1.0,300,25
137,24.0,1.0,1.0,300,25
138,24.0,1.0,1.0,300,25
139,24.0,1.0,1.0,300,25
140,24.0,1.0,1.0,300,25
141,24.0,1.0,1.0,300,25
142,24.0,1.0,1.0,300,25
143,24.0,1.0,1.0,300,25
144,24.0,1.0,1.0,300,25
145,24.0,1.0,1.0,300,25
146,24.0,1.0,1.0,300,25
147,24.0,1.0,1.0,300,25
148,24.0,1.0,1.0,300,25
149,24.0,1.0,1.0,300,25
150,24.0,1.0,1.0,300,25
151,24.0,1.0,1.0,300,25
152,24.0,1.0,1.0,300,25
153,24.0,1.0,1.0,300,25
154,24.0,1.0,1.0,300,25
155,24.0,1.0,1.0,300,25
156,24.0,1.0,1.0,300,25
157,24.0,1.0,1.0,300,25
158,24.0,1.0,1.0,300,25
159,24.0,1.0,1.0,300,25
160,24.0,1.0,1.0,300,25
161,24.0,1.0,1.0,300,25
162,24.0,1.0,1.0,300,25
163,24.0,1.0,1.0,300,25
164,24.0,1.0,1.0,300,25
165,24.0,1.0,1.0,300,25
166,24.0,1.0,1.0,300,25
167,24.0,1.0,1.0,300,25
168,24.0,1.0,1.0,300,25
169,24.0,1.0,1.0,300,25
170,24.0,1.0,1.0,300,25
171,24.0,1.0,1.0,300,25
172,24.0,1.0,1.0,300,25
173,24.0,1.0,1.0,300,25
174,24.0,1.0,1.0,300,25
175,24.0,1.0,1.0,300,25
176,24.0,1.0,1.0,300,25
177,24.0,1.0,1.0,300,25
178,24.0,1.0,1.0,300,25
179,24.0,1.0,1.0,300,25
180,24.0,1.0,1.0,300,25
181,24.0,1.0,1.0,300,25
182,24.0,1.0,1.0,300,25
183,24.0,1.0,1.0,300,25
184,24.0,1.0,1.0,300,25
185,24.0,1.0,1.0,300,25
186,24.0,1.0,1.0,300,25
187,24.0,1.0,1.0,300,25
188,24.0,1.0,1.0,300,25
189,24.0,1.0,1.0,300,25
190,24.0,1.0,1.0,300,25
191,24.0,1.0,1.0,300,25
192,24.0,1.0,1.0,300,25
193,24.0,1.0,1.0,300,25
194,24.0,1.0,1.0,300,25
195,24.0,1.0,1.0,300,25
196,24.0,1.0,1.0,300,25
197,24.0,1.0,1.0,300,25
198,24.0,1.0,1.0,300,25
199,24.0,1.0,1.0,300,25
200,24.0,1.0,1.0,300,25
201,24.0,1.0,1.0,300,25
202,24.0,1.0,1.0,300,25
203,24.0,1.0,1.0,300,25
204,24.0,1.0,1.0,300,25
205,24.0,1.0,1.0,300,25
206,24.0,1.0,1.0,300,25
207,24.0,1.0,1.0,300,25
208,24.0,1.0,1.0,300,25
209,24.0,1.0,1.0,300,25
210,24.0,1.0,1.0,300,25
211,24.0,1.0,1.0,300,25
212,24.0,1.0,1.0,300,25
213,24.0,1.0,1.0,300,25
