run,generation,degenerate,holistic,other,compositional,popsize,turnover_rounds,group_rounds
11,0,0.998604100340889,1.4265450615270749e-08,0.0013949126323002914,9.72761361585614e-07,25,50,0
11,1,0.998604100340889,1.4265450615270749e-08,0.0013949126323002914,9.72761361585614e-07,25,50,0
11,2,0.9986597877131552,1.369617209881034e-08,0.001339264674581676,9.339160925633678e-07,25,50,0
11,3,0.998672045131616,1.3152760026104518e-08,0.001327024612885434,9.171027401135463e-07,25,50,0
11,4,0.9980504010427034,1.3032275924745415e-08,0.0019423634661683612,7.2224588539455145e-06,25,50,0
11,5,0.9786531480265335,1.3107236908448054e-08,0.021339550133770983,7.2887324538702265e-06,25,50,0
11,6,0.9787088119005923,1.2536696719301375e-08,0.02128392573573804,7.249826968328742e-06,25,50,0
11,7,0.9787646249879088,1.1966172943386814e-08,0.021228152123459604,7.210922454254816e-06,25,50,0
11,8,0.9749168130468658,1.1988263931267767e-08,0.025075985544790562,7.189420075434497e-06,25,50,0
11,9,0.9749663997426166,1.2168546358275067e-08,0.025026434580637198,7.153508196008302e-06,25,50,0
11,10,0.953449350171391,1.2712018592380657e-08,0.0465433026467182,7.33446988163677e-06,25,50,0
11,11,0.9534378056114978,1.2142714046790288e-08,0.046554886614466114,7.29563133087955e-06,25,50,0
11,12,0.9534916496228036,1.1598644791689051e-08,0.04650107236004363,7.266418516254849e-06,25,50,0
11,13,0.9528331223141234,1.1262635970507527e-08,0.047159560794155696,7.305629092838703e-06,25,50,0
11,14,0.9451090356693764,1.0750423242947e-08,0.05488368645304496,7.267127162673626e-06,25,50,0
11,15,0.9054603834977034,1.0181926794272803e-08,0.09453237803544652,7.228284925530601e-06,25,50,0
11,16,0.9053050402358812,9.141198779203693e-08,0.09468764967526107,7.21867687212326e-06,25,50,0
11,17,0.9052148723755553,9.084528829654065e-08,0.09477785638315378,7.180396004794628e-06,25,50,0
11,18,0.9052143903087111,9.08469944998899e-08,0.09477833844305847,7.180401238099791e-06,25,50,0
11,19,0.9052700698561192,9.027733544295463e-08,0.09472269830867525,7.141557872112575e-06,25,50,0
11,20,0.9052969286672489,9.027439006431592e-08,0.09469584006209728,7.140996265896569e-06,25,50,0
11,21,0.8852745137968053,9.126071026827187e-08,0.11471829190897836,7.103033507841748e-06,25,50,0
11,22,0.8853134391373813,1.0031817254320332e-08,0.11467944781442291,7.103016380395064e-06,25,50,0
11,23,0.8668911911136796,8.955021772904091e-09,0.133101916781134,6.883150165999737e-06,25,50,0
11,24,0.8669469108299731,8.385750562771438e-09,0.1330462364803493,6.844303928307788e-06,25,50,0
11,25,0.8747220468927998,8.328090948255268e-09,0.12527110087865168,6.843900458942337e-06,25,50,0
11,26,0.874773318863737,7.79531817398027e-09,0.1252198682276158,6.805113330378e-06,25,50,0
11,27,0.8747714709236938,7.794067005898468e-09,0.1252217162260874,6.80505615321005e-06,25,50,0
11,28,0.8642076115080467,3.5979766556111355e-08,0.13577097541814012,2.1377094047878662e-05,25,50,0
11,29,0.8642629629300346,3.541097263190844e-08,0.13571566345995234,2.133819904164794e-05,25,50,0
11,30,0.8631440450922813,3.5410928088563226e-08,0.1368345813542014,2.133814259059624e-05,25,50,0
11,31,0.863189724598611,3.484119818467701e-08,0.13678894124769592,2.1299312496066764e-05,25,50,0
11,32,0.8625808219444481,3.613436412932039e-08,0.13740418040924296,1.496151194589614e-05,25,50,0
11,33,0.8245272467785526,3.6214665788776323e-08,0.1754575888691892,1.5128137592010983e-05,25,50,0
11,34,0.8439245627509198,3.613866009036379e-08,0.1560603393056078,1.5061804813740164e-05,25,50,0
11,35,0.8439770826923375,3.559375220311036e-08,0.15600785235630618,1.502935760492309e-05,25,50,0
11,36,0.8281393039290359,3.608420831670102e-06,0.17185666482294085,4.228271901434521e-07,25,50,0
11,37,0.8235586850041844,3.6081870304658975e-06,0.1764373618621219,3.4494666177745167e-07,25,50,0
11,38,0.8235664795946142,3.6081871066445837e-06,0.1764295672866841,3.449315935187583e-07,25,50,0
11,39,0.8234516839914257,3.6083467832773984e-06,0.17654436228276857,3.453790208684132e-07,25,50,0
11,40,0.827342560772078,3.6083025919837835e-06,0.17265348584734597,3.450779825730139e-07,25,50,0
11,41,0.797637685314057,3.6083155450698817e-06,0.2023583539915458,3.5237884941658683e-07,25,50,0
11,42,0.7973939413320622,3.608326191487098e-06,0.20260209797004294,3.5237170090786156e-07,25,50,0
11,43,0.798575001699622,3.608329961276829e-06,0.20142103743443232,3.525359817261021e-07,25,50,0
11,44,0.7623970601590747,3.608336032196188e-06,0.23759897894712775,3.52557762110952e-07,25,50,0
11,45,0.7489330122117823,5.1439455810686774e-08,0.2510665879747499,3.4837400865916694e-07,25,50,0
11,46,0.7387410162052221,5.1426684083121864e-08,0.26125859124068684,3.411274026733359e-07,25,50,0
11,47,0.7387430607703342,5.1471076738129024e-08,0.2612565464077275,3.413508571405381e-07,25,50,0
11,48,0.7019786810354285,4.6360814122210674e-07,0.29799144532311683,2.9410033309223023e-05,25,50,0
11,49,0.6932165791414181,4.643728244697698e-07,0.30675309671180717,2.9859773947026228e-05,25,50,0
11,50,0.6970664698521848,5.14189115235579e-07,0.30290360049873594,2.9415459960421004e-05,25,50,0
11,51,0.7170172369460183,5.126389858206544e-07,0.28295283432908286,2.9416085909848155e-05,25,50,0
11,52,0.7170134715144506,5.122075963585953e-07,0.28295662908971586,2.9387188234188546e-05,25,50,0
11,53,0.6853338478271678,0.00036958465539721464,0.314267179300723,2.9388216709348712e-05,25,50,0
11,54,0.6906200386136864,0.0003695846549255923,0.3089809887461306,2.9387985255177924e-05,25,50,0
11,55,0.6904785453029021,0.0003695847273330984,0.30912247650188934,2.9393467873625e-05,25,50,0
11,56,0.6905835419733455,0.00036958460720633453,0.30901748021363257,2.939320581333729e-05,25,50,0
11,57,0.6870686321332578,0.00036958465164919435,0.31253238037756004,2.9402837530734402e-05,25,50,0
11,58,0.6504838663374837,0.00036965207206860693,0.34911687174838796,2.9609842070618482e-05,25,50,0
11,59,0.650306065642875,0.00036965203504244094,0.34929467233354144,2.960998855215979e-05,25,50,0
11,60,0.6503082283718986,0.0003696541151949619,0.34929251682679313,2.9600686124031842e-05,25,50,0
11,61,0.6585730306175441,0.00036965256918710694,0.34102708757872796,3.0229234551582927e-05,25,50,0
11,62,0.6585724454954318,0.00036965256961871606,0.34102767258996464,3.022934499576117e-05,25,50,0
11,63,0.6551724363077064,0.00036958512474131213,0.34442795640817314,3.0022159390314032e-05,25,50,0
11,64,0.6551365125097997,0.0003695851884101366,0.34446387143193347,3.003086986816562e-05,25,50,0
11,65,0.6619399611849925,0.000369195174463163,0.3376898875220479,9.56118508002281e-07,25,50,0
11,66,0.6495962748687956,0.0003691962228551069,0.3500333432508807,1.185657475970917e-06,25,50,0
11,67,0.6495268842389632,0.0003691515364194789,0.350102778796161,1.1854284630555865e-06,25,50,0
11,68,0.6495289751396969,0.0003691515400032746,0.35010068781621867,1.1855040880245126e-06,25,50,0
11,69,0.6370979286468013,0.0003691514757067496,0.3625317427717555,1.1771057430590967e-06,25,50,0
11,70,0.628739986902449,0.0003691516944498355,0.3708903129008649,5.485022427276686e-07,25,50,0
11,71,0.6239821256330176,0.0003691518288303588,0.37564812514045715,5.973977015031995e-07,25,50,0
11,72,0.6239817608603486,0.0003691517922989949,0.3756484899501985,5.973971621561543e-07,25,50,0
11,73,0.6221941748514271,0.00036915691110544677,0.37743623735171333,4.30885762351169e-07,25,50,0
11,74,0.6221945307422968,0.0003691569063253646,0.3774358817492317,4.306021546682264e-07,25,50,0
11,75,0.5893245773800628,0.0003691569842246278,0.41030583374111196,4.318946100202282e-07,25,50,0
11,76,0.587947472880347,0.0003691581468618161,0.41168293268187656,4.362909239651142e-07,25,50,0
11,77,0.5808323024762164,0.0003691580838549311,0.41879810426151437,4.3517842269619e-07,25,50,0
11,78,0.5459401469984261,0.00036916096214532413,0.4536897660430453,9.259963914673306e-07,25,50,0
11,79,0.5580954620306745,0.000369160963755649,0.441534451321363,9.25684216258977e-07,25,50,0
11,80,0.5584745663858394,0.0003691557827659654,0.44115535209327933,9.25738124909604e-07,25,50,0
11,81,0.5618690788487527,8.332908990886946e-08,0.43812991451411415,9.233080513674507e-07,25,50,0
11,82,0.5618280441495194,8.53977101850254e-08,0.43817093128757023,9.391652085026554e-07,25,50,0
11,83,0.5249048178134221,8.539691769400914e-08,0.4750941575685313,9.392211363931879e-07,25,50,0
11,84,0.5202186391729223,3.546618698706415e-08,0.4797803888308713,9.365300271088321e-07,25,50,0
11,85,0.5202734146261061,3.492196178882949e-08,0.47972565265226197,8.977996741175057e-07,25,50,0
11,86,0.52030182513659,3.492583611033485e-08,0.47969724202048025,8.97917097970857e-07,25,50,0
11,87,0.52039713200799,3.491224377973035e-08,0.4796019350449925,8.980347798585658e-07,25,50,0
11,88,0.4820898742433633,3.480130116683063e-08,0.5179092029144098,8.880409332096586e-07,25,50,0
11,89,0.48167680027385074,3.4782293466675235e-08,0.5183222771341146,8.878097486505703e-07,25,50,0
11,90,0.48230879302986224,3.9374075459928593e-08,0.5176901184235113,1.0491725580778009e-06,25,50,0
11,91,0.44511957014707787,3.923308732822643e-08,0.5548793439184009,1.0467014405588207e-06,25,50,0
11,92,0.4658055443562334,3.8465655405167756e-08,0.5341933704111241,1.0467669941719536e-06,25,50,0
11,93,0.46707215520841744,3.677802169500595e-08,0.5329260360522808,1.77196128688639e-06,25,50,0
11,94,0.5070431960556627,3.677824866664131e-08,0.4929549951482122,1.7720178821943462e-06,25,50,0
11,95,0.5068881048532977,3.6778011539653095e-08,0.4931100864073711,1.7719613255358571e-06,25,50,0
11,96,0.5069665249139861,3.693092817007432e-08,0.49303166604557896,1.7721095128161365e-06,25,50,0
11,97,0.5067815791765278,3.6968943310367526e-08,0.49321661156212093,1.7722924144491074e-06,25,50,0
11,98,0.506854092207437,3.699415983695684e-08,0.49314409827790634,1.7725205019675415e-06,25,50,0
11,99,0.5070322095326665,3.700731589034546e-08,0.4929659803361772,1.7731238454810823e-06,25,50,0
11,100,0.5070350396759784,3.7006967817608625e-08,0.49296315037724603,1.7729398105877947e-06,25,50,0
11,101,0.5045968691028403,3.654266270780177e-08,0.49540135984318145,1.7345113136337597e-06,25,50,0
11,102,0.5044046674462269,3.6658671203285745e-08,0.49559354601188205,1.7498832178219391e-06,25,50,0
11,103,0.5044432536412997,3.460215930153901e-08,0.495554977682901,1.7340736374811294e-06,25,50,0
11,104,0.48874058825787126,4.167551253588109e-08,0.5112576356232162,1.7344433980528957e-06,25,50,0
11,105,0.4877572506010937,4.171590704951115e-08,0.5121390810796181,0.00010362660337820523,25,50,0
11,106,0.4861286316746088,4.1687697589792934e-08,0.5137677000482903,0.00010362658940055209,25,50,0
11,107,0.4664563535157216,4.014244742025881e-08,0.5335421400509389,1.4662908886784264e-06,25,50,0
11,108,0.46903392005931943,4.0360411185191056e-08,0.5309645718509196,1.4677293468771182e-06,25,50,0
11,109,0.4691255885778082,4.036043676651643e-08,0.5308729033303993,1.46773135224142e-06,25,50,0
11,110,0.4454940930796061,5.167622879905957e-08,0.5545043879684503,1.4672757122795472e-06,25,50,0
11,111,0.44567235646846115,5.1676660522252925e-08,0.5543261245762175,1.4672786589235103e-06,25,50,0
11,112,0.4357359669710679,2.9528995321570878e-08,0.5642625365470543,1.4669528824321097e-06,25,50,0
11,113,0.42932659737266105,3.482599726309769e-08,0.5706719378761302,1.429925210443358e-06,25,50,0
11,114,0.42934406718919804,3.491948734101905e-08,0.5706544553084822,1.4425828318708842e-06,25,50,0
11,115,0.43850896824523583,4.367737792122358e-08,0.5614895176726492,1.4704047359290173e-06,25,50,0
11,116,0.4044654769847596,4.3665720297456457e-08,0.5955330076497006,1.4716998186537237e-06,25,50,0
