run,generation,degenerate,holistic,other,compositional,popsize,turnover_rounds,group_rounds
3,0,0.9987713554999793,1.4267839920713722e-08,0.0012266915175253483,1.938714656782331e-06,25,20,20
3,1,0.7605206025292145,4.090616223288279e-07,0.2390219658957104,0.0004570225134477753,25,20,20
3,2,0.5484330203005703,0.00042838148732578685,0.45104868510459034,8.9913107507908e-05,25,20,20
3,3,0.4154041750241124,2.92764867444617e-05,0.581871465717981,0.002695082771157386,25,20,20
3,4,0.544920245030867,6.104042584920427e-07,0.4548596582377355,0.00021948632713507287,25,20,20
3,5,0.5388924032488844,0.00048960555791763,0.4601932921947806,0.0004246989984155421,25,20,20
3,6,0.5389446109186041,0.00014977955930211306,0.42522129368340544,0.035684315838686434,25,20,20
3,7,0.5266389399913636,7.511407528852334e-05,0.43940932451299874,0.03387662142034906,25,20,20
3,8,0.3963724397534989,0.009588986630342512,0.5348234588470036,0.059215114769157105,25,20,20
3,9,0.2768704991987166,0.00983718332041292,0.6371770336635215,0.07611528381734561,25,20,20
3,10,0.30022448736695934,0.000811384151328013,0.6062660885628953,0.092698039918814,25,20,20
3,11,0.25090123283319155,0.011189920547757568,0.6480470568765915,0.08986178974245577,25,20,20
3,12,0.2569015498137899,0.011726138498048792,0.6461964686942129,0.08517584299394829,25,20,20
3,13,0.3281405916085419,0.0005366619325303379,0.5915699670554129,0.07975277940351476,25,20,20
3,14,0.46754793141290457,1.3082165470479002e-06,0.45234019210469617,0.08011056826585299,25,20,20
3,15,0.3894152125523355,2.3158510814601346e-06,0.49046912370532475,0.12011334789125686,25,20,20
3,16,0.4077953692211651,3.1403011374202935e-05,0.4669177235179379,0.12525550424952236,25,20,20
3,17,0.43998168460269177,5.5072485626272624e-05,0.4323240976934869,0.1276391452181918,25,20,20
3,18,0.4350164203871548,0.021261648842203416,0.42323259680969677,0.12048933396094767,25,20,20
3,19,0.4580099665870901,0.021328197637800524,0.35759694592579727,0.16306488984931117,25,20,20
3,20,0.36790268412380106,5.521022148715475e-06,0.45398695554941876,0.17810483930462723,25,20,20
3,21,0.28524176836450715,4.336196883973323e-05,0.5359693101962288,0.17874555947042137,25,20,20
3,22,0.21083530598275105,3.4156547018207945e-06,0.6138827878953789,0.17527849046716862,25,20,20
3,23,0.3113409507571339,3.2075390896441605e-06,0.5224764646044643,0.16617937709931296,25,20,20
3,24,0.3296741131030224,5.0613185221079274e-06,0.5040594802837572,0.16626134529469908,25,20,20
3,25,0.3209704549864847,1.4440416186631e-05,0.5185445889108214,0.1604705156865097,25,20,20
3,26,0.1751695675328951,0.00035160734717048256,0.6903108264903333,0.1341679986295955,25,20,20
