,average_degree,clustering_coef,average_shortest_path,n_edges,n_nodes
0,4.0,0.3813333333333333,2.6366666666666667,50,25
1,4.0,0.3813333333333333,2.6366666666666667,50,25
2,3.76,0.27428571428571424,2.65,47,25
3,3.5833333333333335,0.16944444444444443,2.6449275362318843,43,24
4,3.6,0.06323809523809523,2.4966666666666666,45,25
5,3.12,0.09047619047619047,2.6966666666666668,39,25
6,3.3043478260869565,0.3105590062111801,2.8102766798418974,38,23
7,2.8,0.1733333333333333,NaN,35,25
8,2.8,0.10838095238095238,2.986666666666667,35,25
9,3.0476190476190474,0.09342403628117914,2.580952380952381,32,21
10,3.4166666666666665,0.22893518518518519,2.721014492753623,41,24
11,3.8260869565217392,0.22022084195997238,2.4782608695652173,44,23
12,3.44,0.10114285714285715,2.4633333333333334,43,25
13,2.75,0.0859126984126984,NaN,33,24
14,3.0,0.09325396825396826,2.677536231884058,36,24
15,2.6956521739130435,0.22360248447204967,2.9762845849802373,31,23
16,3.1818181818181817,0.19545454545454544,2.74025974025974,35,22
17,3.3333333333333335,0.1761904761904762,2.5253623188405796,40,24
18,3.44,0.15314285714285714,2.4833333333333334,43,25
19,3.6666666666666665,0.2189484126984127,2.3949275362318843,44,24
20,3.6,0.23806349206349206,NaN,45,25
21,3.1666666666666665,0.09484126984126984,2.8550724637681157,38,24
22,3.652173913043478,0.22008281573498964,2.375494071146245,42,23
23,3.5454545454545454,0.1804112554112554,2.3766233766233764,39,22
24,3.92,0.1261904761904762,2.3066666666666666,49,25
25,3.76,0.06961904761904762,2.4033333333333333,47,25
26,3.9166666666666665,0.08214285714285714,2.3840579710144927,47,24
27,3.8333333333333335,0.1871031746031746,2.431159420289855,46,24
28,3.84,0.1718095238095238,2.466666666666667,48,25
29,3.52,0.1601904761904762,2.8833333333333333,44,25
30,3.5652173913043477,0.15217391304347827,2.541501976284585,41,23
31,3.5,0.16011904761904763,2.6557971014492754,42,24
32,3.04,0.11923809523809524,2.6933333333333334,38,25
33,3.3333333333333335,0.06587301587301587,2.539855072463768,40,24
34,3.0833333333333335,0.09384920634920635,2.822463768115942,37,24
35,2.9565217391304346,0.16231884057971016,NaN,34,23
36,3.4545454545454546,0.2623376623376623,2.5974025974025974,38,22
37,2.8,0.1697142857142857,2.9566666666666666,35,25
38,3.391304347826087,0.13105590062111802,2.58102766798419,39,23
39,3.3333333333333335,0.20029761904761903,2.5833333333333335,40,24
40,2.9166666666666665,0.12678571428571428,3.0615942028985508,35,24
41,3.04,0.10666666666666666,2.7933333333333334,38,25
42,3.0,0.08194444444444444,2.818840579710145,36,24
43,2.909090909090909,0.15454545454545454,2.8008658008658007,32,22
44,3.1666666666666665,0.1324074074074074,2.601449275362319,38,24
45,3.3636363636363638,0.20075757575757577,2.5324675324675323,37,22
46,3.4545454545454546,0.2246753246753247,2.5238095238095237,38,22
47,3.5833333333333335,0.24662698412698414,2.5072463768115942,43,24
48,3.4782608695652173,0.2087991718426501,2.438735177865613,40,23
49,3.6,0.2216190476190476,2.493333333333333,45,25
50,3.6666666666666665,0.2347222222222222,2.4855072463768115,44,24
51,3.36,0.18333333333333332,2.59,42,25
52,3.6,0.13933333333333334,2.526666666666667,45,25
53,3.3333333333333335,0.24583333333333332,2.746376811594203,40,24
54,3.1666666666666665,0.09861111111111111,2.710144927536232,38,24
55,3.217391304347826,0.17391304347826086,2.897233201581028,37,23
56,3.0,0.21666666666666667,2.9782608695652173,36,24
57,2.48,0.22933333333333333,NaN,31,25
58,2.6315789473684212,0.12280701754385963,3.0233918128654973,25,19
59,2.64,0.02,3.02,33,25
60,3.44,0.047047619047619046,2.58,43,25
61,3.0833333333333335,0.10694444444444445,2.6920289855072466,37,24
62,3.142857142857143,0.12698412698412698,2.552380952380952,33,21
63,3.3636363636363638,0.0803030303030303,2.393939393939394,37,22
64,3.739130434782609,0.28957902001380265,2.2766798418972334,43,23
65,3.76,0.18904761904761905,2.3866666666666667,47,25
66,3.130434782608696,0.21200828157349894,2.5968379446640317,36,23
67,3.391304347826087,0.27781228433402344,2.4980237154150196,39,23
68,3.2,0.1382857142857143,2.7266666666666666,40,25
69,3.36,0.1762857142857143,2.6466666666666665,42,25
70,3.0833333333333335,0.09216269841269842,2.8949275362318843,37,24
71,3.04,0.15095238095238095,2.9033333333333333,38,25
72,3.130434782608696,0.1937888198757764,2.5849802371541504,36,23
73,3.04,0.17752380952380953,2.72,38,25
74,3.0434782608695654,0.15134575569358177,2.5454545454545454,35,23
75,2.9565217391304346,0.08592132505175983,2.727272727272727,34,23
76,2.6363636363636362,0.0196969696969697,2.9567099567099566,29,22
77,2.96,0.14228571428571427,2.9166666666666665,37,25
78,3.0,0.15882936507936507,2.9166666666666665,36,24
79,2.8333333333333335,0.10952380952380952,NaN,34,24
80,3.142857142857143,0.19920634920634922,2.557142857142857,33,21
81,3.217391304347826,0.2176673567977916,NaN,37,23
82,3.8181818181818183,0.23264790764790763,2.311688311688312,42,22
83,3.5833333333333335,0.38746392496392495,2.467391304347826,43,24
84,3.3333333333333335,0.16935425685425687,2.510869565217391,40,24
85,3.3043478260869565,0.22470669427191167,2.4901185770750986,38,23
86,3.52,0.1320952380952381,2.61,44,25
87,3.44,0.1921904761904762,2.65,43,25
88,2.9166666666666665,0.26412037037037034,2.960144927536232,35,24
89,2.782608695652174,0.11987577639751552,NaN,32,23
90,2.8181818181818183,0.06374458874458874,2.658008658008658,31,22
91,3.3043478260869565,0.17337662337662338,2.324110671936759,38,23
92,2.9565217391304346,0.18947550034506555,2.4703557312252964,34,23
93,2.9523809523809526,0.17018140589569158,2.5428571428571427,31,21
94,2.727272727272727,0.09393939393939395,2.844155844155844,30,22
95,2.5714285714285716,0.0,2.823809523809524,27,21
96,2.72,0.03333333333333333,3.1066666666666665,34,25
97,2.5217391304347827,0.12608695652173912,3.5098814229249014,29,23
98,2.608695652173913,0.06687370600414078,3.08300395256917,30,23
99,2.96,0.09222222222222222,2.776666666666667,37,25
100,3.391304347826087,0.1595238095238095,2.347826086956522,39,23
101,3.652173913043478,0.1813664596273292,2.280632411067194,42,23
102,3.4166666666666665,0.10833333333333334,2.5144927536231885,41,24
103,3.2,0.12895238095238096,2.546666666666667,40,25
104,3.0833333333333335,0.033134920634920635,2.7355072463768115,37,24
105,2.9166666666666665,0.08819444444444445,2.5905797101449277,35,24
106,3.04,0.07352380952380952,2.57,38,25
107,2.5833333333333335,0.06226851851851852,2.7644927536231885,31,24
108,2.96,0.13685714285714284,2.683333333333333,37,25
109,3.272727272727273,0.13257575757575757,2.5844155844155843,36,22
110,3.4166666666666665,0.14771825396825397,2.550724637681159,41,24
